date,site.ID,lat,lon,so.taken,cu.taken,pi.taken
2015-05-12,D01,49.9613,-124.747,30,10,0
2015-05-25,D01,NA,NA,NA,NA,NA
2015-05-27,D01,NA,NA,NA,NA,NA
2015-05-31,D01,NA,NA,NA,NA,NA
2015-06-13,D01,NA,NA,NA,NA,NA
2015-06-21,D01,NA,NA,NA,NA,NA
2015-05-13,D02,50.07902,-124.8509,30,10,0
2015-05-15,D02,50.08007,-124.8511,30,10,0
2015-05-17,D02,50.08123,-124.8549,8,10,0
2015-05-21,D02,NA,NA,NA,NA,NA
2015-05-25,D02,NA,NA,NA,NA,NA
2015-05-27,D02,NA,NA,NA,NA,NA
2015-05-31,D02,50.06119,-124.87916,0,0,0
2015-06-04,D02,NA,NA,NA,NA,NA
2015-06-06,D02,NA,NA,NA,NA,NA
2015-06-13,D02,NA,NA,NA,NA,NA
2015-06-17,D02,NA,NA,NA,NA,NA
2015-06-21,D02,NA,NA,NA,NA,NA
2015-05-15,D03,50.11842,-125.07512,30,10,0
2015-05-18,D03,50.11405,-125.0787,30,1,0
2015-05-21,D03,50.13705,-125.1175,3,10,5
2015-05-25,D03,NA,NA,NA,NA,NA
2015-05-27,D03,NA,NA,NA,NA,NA
2015-05-30,D03,NA,NA,NA,NA,NA
2015-05-31,D03,NA,NA,NA,NA,NA
2015-06-06,D03,NA,NA,NA,NA,NA
2015-06-13,D03,NA,NA,NA,NA,NA
2015-06-19,D03,NA,NA,NA,NA,NA
2015-06-21,D03,NA,NA,NA,NA,NA
2015-05-14,D04,49.99932,-125.1395,30,0,0
2015-05-23,D04,NA,NA,NA,NA,NA
2015-05-30,D04,NA,NA,NA,NA,NA
2015-05-31,D04,NA,NA,NA,NA,NA
2015-06-15,D04,NA,NA,NA,NA,NA
2015-06-19,D04,NA,NA,NA,NA,NA
2015-06-23,D04,NA ,NA,NA,NA,NA
2016-05-10,D04,49.995144,-125.150126,NA,NA,NA
2016-05-13,D04,49.9865,-125.162953,30,1,3
2016-05-18,D04,49.990151,-125.160818,0,0,0
2016-05-18,D04,49.990151,-125.160818,0,0,0
2016-06-11,D04,49.996293,-125.146925,NA,NA,NA
2016-06-24,D04,49.997783,-125.15945,9,10,10
2015-05-15,D05,50.16142,-124.8842,30,5,1
2015-05-18,D05,50.1659,-124.8888,6,10,1
2015-05-25,D05,NA,NA,NA,NA,NA
2015-05-27,D05,NA,NA,NA,NA,NA
2015-05-31,D05,NA,NA,NA,NA,NA
2015-06-04,D05,NA,NA,NA,NA,NA
2015-06-06,D05,NA,NA,NA,NA,NA
2015-06-09,D05,NA,NA,NA,NA,NA
2015-06-13,D05,NA,NA,NA,NA,NA
2015-06-17,D05,NA,NA,NA,NA,NA
2015-06-21,D05,NA,NA,NA,NA,NA
2015-05-16,D06,50.08005,-125.2468,30,10,2
2015-05-23,D06,NA,NA,NA,NA,NA
2015-05-30,D06,50.10015,-125.27265,30,10,0
2015-06-04,D06,50.07966,-125.24845,15,3,4
2015-06-15,D06,NA,NA,NA,NA,NA
2015-06-19,D06,50.09809,-125.27142,5,10,0
2015-06-23,D06,50.10264,-125.27585,6,10,4
2015-07-02,D06,NA,NA,NA,NA,NA
2015-07-05,D06,NA,NA,NA,NA,NA
2015-05-16,D07,50.16412,-125.1602,30,10,1
2015-05-21,D07,50.18217,-125.1493,30,10,8
2015-05-24,D07,NA,NA,NA,NA,NA
2015-05-27,D07,NA,NA,NA,NA,NA
2015-06-05,D07,50.19112,-125.14202,13,10,0
2015-06-07,D07,50.1915,-125.14292,30,10,6
2015-06-09,D07,50.19077,-125.14249,30,10,2
2015-06-11,D07,50.19017,-125.14437,1,10,3
2015-06-12,D07,NA,NA,NA,NA,NA
