date,site.ID,site.name,time,lat,lon,crew,net.sets,min.searching,dimpling,sliders,poppers,precip,wind.speed,wind.direction,cloud.cover,sea.state,secchi,temp.0m,salinity.0m,temp.1m,salinity.1m,so.taken,so.total,cu.taken,cu.total,he.taken,he.total,co.taken,co.total,pi.taken,pi.total,bycatch.spp.1,bycatch.num.1,bycatch.spp.2,bycatch.num.2,bycatch.spp.3,bycatch.num.3,mort.spp.1,mort.num.1,mort.spp.2,mort.num.2,mort.spp.3,mort.num.3,comments,preserved,initials
yyyy-mm-dd,D## OR J##,designated site name,"24 hrs
(hh:mm)",latitude in decimal degrees,longitude in decimal degrees (negative!),full names separated by commas,number of net deployments,number of minutes spent searching for fish,"dimpling activity
(0 = none,
1 = some
2 = many)","slider activity
(0 = none,
1 = some
2 = many)","popper activity
(0 = none,
1 = some
2 = many)","precipitation (none, light, moderate, heavy)","wind speed
(knots; 0, 0.1-5, 5-10, 10-15, 15-20, 20-30)","wind direction 
(NA if wind speed = 0)",percent cloud cover (25% increments),"sea state
(beaufort scale)","secchi depth
(0.1m)","surface temperature
(ĄC)","surface salinity
(ppt)","1m temperature
(ĄC)","1m salinity
(ppt)",,"total sockeye in net (rounded to nearest 10,100, or 1000)",number of chum retained,"total chum in net (rounded to nearest 10,100, or 1000)",number of herring retained,"total herring in net (rounded to nearest 10,100, or 1000)",number of coho retained,"total coho in net (rounded to nearest 10,100, or 1000)",number of pink retained,"total pink in net (rounded to nearest 10,100, or 1000)","bycatch species #1
(NA if none)","number of bycatch species #1 in net
(NA if none)","bycatch species #2
(NA if none)","number of bycatch species #2 in net
(NA if none)","bycatch species #3
(NA if none)","number of bycatch species #3 in net
(NA if none)","mortality species #1
(NA if none)","number of mort species #1 in net
(NA if none)","mortality species #2
(NA if none)","number of mort species #2 in net
(NA if none)","mortality species #3
(NA if none)","number of mort species #3 in net
(NA if none)",notes from datasheet,"1 = preserved correctly
0 = not correctly
TBD = in dewar",initials of data enterer
2015-05-12,D01,Hurtado Point,11:40,49.96130,-124.74700,"Carolyn Knapper, Kristi Inman, Brett Johnson, Ben Millard-Martin, Luke Rogers",3,40,NA,NA,NA,none,5-10,NW,25,3,8.7,13.9,26.9,13.2,26.9,30,NA,10,NA,2,NA,1,NA,0,0,NA,NA,NA,NA,NA,NA,SO ,7,NA,NA,NA,NA,NA,1,"CK, LR"
2015-05-13,D02,Kinghorn Island,09:49,50.07902,-124.85090,"Carolyn Knapper, Brett Johnson, Ben Millard-Martin, Luke Rogers",1,NA,NA,NA,NA,none,0,NA,100,0,12.1,14.6,26.1,14.6,26.1,30,400,10,40,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"CK, LR"
2015-05-14,D04,Fransisco Point,07:38,49.99932,-125.13950,"Carolyn Knapper, Ben Millard-Martin, Luke Rogers",1,NA,NA,NA,NA,none,0.1-5,NW,100,1,8.5,13.5,27.1,13.5,27.2,30,300,0,0,7,10,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"CK, LR"
2015-05-15,D02,Kinghorn Island,10:21,50.08007,-124.85110,"Carolyn Knapper, Brett Johnson, Ben Millard-Martin, Luke Rogers",1,NA,NA,NA,NA,none,0,NA,0,0,NA,15.2,25.7,14.9,25.8,30,300,10,10,1,1,0,0,0,0,Chinook,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"CK, LR"
2015-05-15,D03,Sutil Narrows,13:28,50.11842,-125.07512,"Carolyn Knapper, Brett Johnson, Ben Millard-Martin, Luke Rogers",1,NA,NA,NA,NA,none,0.1-5,NW,25,1,7.0,15.3,27.0,14.5,27.2,30,40,10,20,2,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"CK, LR"
2015-05-15,D05,Lewis Channel,07:50,50.16142,-124.88420,"Carolyn Knapper, Brett Johnson, Ben Millard-Martin, Luke Rogers",1,NA,NA,NA,NA,none,0,NA,25,0,10.3,14.8,26.3,14.8,26.3,30,200,5,6,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"CK, LR"
2015-05-16,D06,Gowlland Harbour,08:00,50.08005,-125.24680,"Carolyn Knapper, Brett Johnson, Luke Rogers",1,NA,NA,NA,NA,none,5-10,NW,0,0,NA,10.6,28.7,10.6,28.8,30,600,10,1000,0,0,4,NA,2,NA,Stickelback,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"CK, LR"
2015-05-16,D07,Hoskyn Channel,12:30,50.16412,-125.16020,"Carolyn Knapper, Brett Johnson, Luke Rogers",1,NA,NA,NA,NA,none,0.1-5,SW,0,1,5.0,14.4,27.4,13.8,27.3,30,500,10,300,10,10,1,NA,1,NA,Trout,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"CK, LR"
2015-05-17,D02,Kinghorn Island,09:00,50.08123,-124.85490,"Carolyn Knapper, Brett Johnson, Luke Rogers",1,NA,NA,NA,NA,none,0.1-5,S ,100,0,11.9,16.0,26.2,15.8,26.3,8,8,10,90,0,0,0,0,0,0,Flatfish (Juvenile),1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"CK, LR"
2015-05-18,D03,Sutil Narrows,07:30,50.11405,-125.07870,"Carolyn Knapper, Brett Johnson, Luke Rogers, Midoli Bresch",1,NA,NA,NA,NA,none,0.1-5,NW,0,1,6.6,14.9,27.1,14.8,27.1,30,70,1,10,2,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,First problems with flowmeter observed: intermittent spinning.,1,"CK, LR"
2015-05-18,D05,Lewis Channel,11:30,50.16590,-124.88880,"Carolyn Knapper, Brett Johnson, Luke Rogers, Midoli Bresch",1,NA,NA,NA,NA,none,0.1-5,NW,0,1,NA,17.0,26.2,16.3,26.2,6,6,10,30,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"CK, LR"
2015-05-19,D08,Calm Channel,10:30,50.34273,-125.08410,"Brett Johnson, Luke Rogers, Kristi Inman, Samantha Crowley",1,NA,NA,NA,NA,none,5-10,NW,0,1,6.1,14.0,24.1,13.4,24.6,30,200,10,100,5,10,2,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fish moved by jug from net to buckets (30 sockeye in one 5 gallon pale; 50 total chum, pink, herring, coho in a second five gallon pale and two aquaria) to avoid net collapse on fish during onshore wind.",1,"CK, LR"
2015-05-20,D09,Okisollo Channel,08:00,50.30787,-125.32930,"Brett Johnson, Luke Rogers, Kristi Inman, Samantha Crowley",1,NA,NA,NA,NA,none,0.1-5,E,0,1,11.4,11.0,28.7,10.8,28.7,30,200,10,30,10,30,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Salmon Farms: Brent Island NA; Venture Point 12 pens stocked; Okisolo Channel no nets in pens; Barnes Bay no nets in pens. ,1,"CK, LR"
2015-05-20,J03,Cracroft Point,07:10,NA,NA,"Sean Godwin, Donnah MacKinnon, Dylan Smyth",1,30,1,0,1,light,1,NW,100,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SG
2015-05-20,J05,Stimpson Point,09:50,50.50535,-126.24163,"Sean Godwin, Donnah MacKinnon, Dylan Smyth",1,10,1,2,0,light,2,NW,100,2,13.2,9.1,28.5,9.6,28.5,30,300,10,20,4,4,6,6,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fish not labelled in order,0,SG
2015-05-21,D02,Kinghorn Island,07:00,NA,NA,"Carolyn Knapper, Luke Rogers, Kristi Inman, Samantha Crowley",0,30,0,0,0,none,0.1-5,NW,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,From LR logbook,NA,LR
2015-05-21,D03,Sutil Narrows,09:45,50.13705,-125.11750,"Carolyn Knapper, Luke Rogers, Kristi Inman, Samantha Crowley",1,30,0,1,1,none,0.1-5,NW,0,1,4.6,16.1,25.9,15.9,25.1,3,3,10,30,0,0,1,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Coho: 4 out of 5 in net too large for Whirl-Pak, not taken.",1,"CK, LR"
2015-05-21,D07,Hoskyn Channel,13:00,50.18217,-125.14930,"Carolyn Knapper, Luke Rogers, Kristi Inman, Samantha Crowley",2,17,0,2,2,none,5-10,NE,0,2,4.2,15.7,27.8,15.6,27.8,30,200,10,50,0,0,1,1,8,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,First set (40 fish) released due to net collapse. Second set targeted different school.,1,"CK, LR"
2015-05-21,J04,Forward Bay,13:40,NA,NA,"Sean Godwin, Donnah MacKinnon, Carson White",2,90,1,0,1,none,2,NW,100,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SG
2015-05-21,J06,Blenkinsop Bay,06:20,50.47479,-126.03259,"Sean Godwin, Brendan Connors, Carson White",2,10,1,0,0,none,2,NW,100,2,10.5,9.6,28.5,9.5,28.5,30,100,10,30,0,0,3,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,SG
2015-05-22,J04,Forward Bay,13:50,50.52222,-126.39167,"Sean Godwin, Carson White, Dylan Smyth",4,10,2,2,1,none,3,NW,75,2,12.8,10.0,28.5,9.8,28.6,30,150,2,2,1,1,10,10,0,0,"unknown salmonid, ~30cm",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,SG
2015-05-22,J07,South Mouth,06:40,50.45614,-126.11933,"Sean Godwin, Dylan Smyth, Carson White",1,1,1,2,1,none,1,NW,100,2,14.6,9.6,28.5,9.6,28.5,30,600,1,1,0,0,4,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,SG
2015-05-22,J08,Naka Creek,09:40,50.48078,-126.41037,"Sean Godwin, Carson White, Dylan Smyth",2,3,2,2,2,none,2,NW,100,2,14.9,9.8,28.5,9.7,28.6,30,150,3,3,0,0,10,150,0,0,dolly varden,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,SG
2015-05-23,D04,Fransisco Point,13:15,NA,NA,"Carolyn Knapper, Luke Rogers, Brett Johnson",0,7,0,0,0,none,0.1-5,SE,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,From LR logbook,NA,LR
2015-05-23,D06,Gowlland Harbour,14:32,NA,NA,"Carolyn Knapper, Luke Rogers, Brett Johnson",0,12,0,0,0,none,0.1-5,SE,25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,From LR logbook,NA,LR
2015-05-23,D08,Calm Channel,07:00,50.31962,-125.03950,"Carolyn Knapper, Luke Rogers, Brett Johnson",1,9,0,1,1,none,0,NA,100,1,8.7,14.6,25.2,14.6,25.4,29,29,10,40,1,1,1,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"CK, LR"
2015-05-23,D10,Hall Point,10:15,50.44365,-125.27900,"Carolyn Knapper, Luke Rogers, Brett Johnson",1,20,0,1,1,none,1,NW,50,1,11.0,10.6,28.8,10.4,28.8,30,3000,2,100,1,10,0,0,2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"CK, LR"
2015-05-23,J03,Cracroft Point,06:00,50.54648,-126.67096,"Sean Godwin, Mack Bartlett, Chris Guinchard",2,0,2,2,0,none,0,NW,100,0,13.5,9.7,28.0,9.7,28.7,30,300,0,0,0,0,0,0,0,0,threespine stickleback,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"all fish samples labelled ""J0CP"" for now, will need to be hanged once site name confirmed",0,SG
2015-05-23,J09,Blinkhorn Peninsula,09:00,50.54039,-126.78096,"Sean Godwin, Mack Bartlett, Chris Guinchard",2,0,2,2,2,none,1,NW,100,0,15.1,10.2,28.6,9.8,28.6,30,200,10,25,5,5,8,8,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,SG
2015-05-23,J10,Hanson South,12:35,50.55787,-126.73532,"Sean Godwin, Mack Bartlett, Chris Guinchard",3,0,2,2,0,none,2,NW,25,2,15.3,10.2,28.6,9.8,28.6,30,1200,10,20,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,SG
2015-05-24,D07,Hoskyn Channel,14:42,NA,NA,"Carolyn Knapper, Luke Rogers, Brett Johnson, Katie Chan",0,13,0,1,1,none,0.1-5,N,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CK, LR"
2015-05-24,D09,Okisollo Channel,12:10,50.30723,-125.33345,"Carolyn Knapper, Luke Rogers, Brett Johnson, Katie Chan",1,47,0,1,1,none,0.1-5,SW,0,1,13.9,11.1,29.2,11.1,29.2,30,200,4,4,1,1,0,0,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"CK, LR"
2015-05-24,D11,Turn Island,08:40,50.34655,-125.45602,"Carolyn Knapper, Luke Rogers, Brett Johnson, Katie Chan",2,25,0,1,1,none,5-10,W,50,1,9.8,10.6,27.3,10.6,29.2,30,200,10,300,6,10,1,1,0,0,NA,NA,NA,NA,NA,NA,sockeye,1,chum,1,NA,NA,NA,1,"CK, LR"
2015-05-24,J01,Hanson North,13:00,NA,NA,"Sean Godwin, Mack Barlett, Samantha Crowley",0,60,0,0,0,none,5-10,NW,75,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SG
2015-05-24,J02,Swanson Island,06:25,50.60101,-126.70394,"Sean Godwin, Mack Bartlett, Samantha Crowley",2,1,2,1,0,none,0.1-5,W,100,1,11.0,9.4,28.8,9.4,28.7,30,400,7,7,0,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,SG
2015-05-24,J06,Blenkinsop Bay,14:00,50.47696,-126.02730,"Sean Godwin, Mack Bartlett, Samantha Crowley",1,5,0,2,0,none,15-20,SW,25,3,8.9,10.4,28.3,10.2,28.3,30,400,2,2,0,0,0,0,0,0,starry flounder,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,SG
2015-05-25,D01,Hurtado Point,12:15,NA,NA,"Luke Rogers, Brett Johnson, Kristi Inman, Katie Chan",0,10,0,0,0,none,5-10,W,25,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LR
2015-05-25,D02,Kinghorn Island,11:25,NA,NA,"Luke Rogers, Brett Johnson, Kristi Inman, Katie Chan",0,20,0,1,1,none,0.1-5,NW,50,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LR
2015-05-25,D03,Sutil Narrows,06:02,NA,NA,"Luke Rogers, Brett Johnson, Kristi Inman, Katie Chan",0,26,0,1,1,none,0.1-5,NW,100,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LR
2015-05-25,D05,Lewis Channel,10:23,NA,NA,"Luke Rogers, Brett Johnson, Kristi Inman, Katie Chan",1,22,0,1,1,none,5-10,NW,100,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Set on 1 slider, no catch",NA,LR
2015-05-25,D08,Calm Channel,07:35,50.31530,-125.05186,"Luke Rogers, Brett Johnson, Kristi Inman, Katie Chan",1,0,0,2,0,none,5-10,W,100,2,7.3,15.2,26.0,15.2,26.0,30,200,10,40,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"CK, LR"
2015-05-25,J04,Forward Bay,09:50,50.52363,-126.39046,"Sean Godwin, Chris Guinchard, Samantha Crowley",1,70,1,1,0,none,5-10,SW,100,2,11.3,9.9,28.5,9.7,28.6,30,800,10,50,0,0,4,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,SG
2015-05-25,J05,Stimpson Point,05:40,50.49853,-126.21348,"Sean Godwin, Chris Guinchard, Samantha Crowley",1,1,0,2,0,light,5-10,SW,100,2,10.9,9.8,28.5,9.8,28.5,30,300,10,150,4,4,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,SG
2015-05-25,J08,Naka Creek,13:00,50.48103,-126.41291,"Sean Godwin, Chris Guinchard, Samantha Crowley",1,25,1,0,0,none,5-10,W,100,2,13.3,10.0,28.6,10.0,28.6,30,40,10,15,3,3,1,1,0,0,"juvenile dolly varden, ~10cm",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,SG
2015-05-26,D09,Okisollo Channel,12:29,50.30795,-125.32452,"Luke Rogers, Carolyn Knapper, Kristi Inman",1,11,1,1,1,none,0.1-5,W,0,1,12.9,11.5,28.9,11.4,29.0,30,40,10,10,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nordic Queen (Chrys Neville's DFO chartered commercial seiner) set 500 m W of us 1.5 hours after our set.,1,LR
2015-05-26,D10,Hall Point,08:45,50.44466,-125.28040,"Luke Rogers, Carolyn Knapper, Kristi Inman",4,97,1,2,1,none,0.1-5,NW,100,1,9.9,11.2,26.7,10.8,28.1,30,200,5,10,1,2,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,LR
2015-05-26,D11,Turn Island,11:56,NA,NA,"Luke Rogers, Carolyn Knapper, Kristi Inman",0,10,0,1,1,none,10-15,W,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LR
2015-05-26,J03,Cracroft Point,09:35,50.54672,-126.67256,"Sean Godwin, Mack Bartlett, Chris Guinchard",2,1,2,2,0,none,0.1-5,NW,75,1,13.0,10.0,28.6,9.9,28.6,30,1000,10,30,0,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,SG
2015-05-26,J07,South Mouth,05:45,50.45622,-126.11838,"Sean Godwin, Mack Bartlett, Chris Guinchard",1,1,2,2,1,none,0.1-5,NW,100,2,15.5,9.9,28.5,9.9,28.5,30,1000,10,200,5,5,1,1,0,0,"unknown juvenile salmonid, ~10cm",1,NA,NA,NA,NA,sockeye,6,chum,2,NA,NA,"unknown salmonid bycatch not sockeye, chum, pink, coho, or chinook",1,SG
2015-05-26,J09,Blinkhorn Peninsula,12:55,50.53989,-126.78256,"Sean Godwin, Mack Bartlett, Chris Guinchard",1,2,2,2,0,none,5-10,W,75,1,16.9,11.8,28.1,10.0,28.6,30,1500,10,100,1,1,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,SG
2015-05-27,D01,Hurtado Point,09:35,NA,NA,"Carolyn Knapper, Luke Rogers, Kristi Inman ",0,10,0,0,0,none,0.1-5,NW,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CK, LR"
2015-05-27,D02,Kinghorn Island,08:51,NA,NA,"Carolyn Knapper, Luke Rogers, Kristi Inman ",0,15,NA,NA,NA,none,0.1-5,NW,25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CK, LR"
